Score_Comercial,Es_Desarrollo_Propio,Precio_Confiable,Municipio,Colonia,Operación,Tipo,Título/Colonia,Precio,precio_m2,precio_m2_vs_mediana,Recámaras,Baños,m²,Completitud,codigo_eb,Liga,lat,lon
73.1,Villa Dhara / Parque Morelos,True,Guadalajara,El Retiro,RENTA,Departamento,El Departamento Más Exclusivo de Villa Dhara | Terraza Privada 74 m² | Amueblado,14000.0,189.1891891891892,0.4021251396082249,1.0,1.0,74.0,1.0,EB-WG7913,https://www.aciertamax.com/property/el-departamento-mas-exclusivo-de-villa-dhara-terraza-privada-74-m-amueblado,20.6812732371,-103.3409259832
72.9,,True,Guadalajara,Reforma,RENTA,Oficina,Oficina en Renta,39000.0,89.04109589041096,0.7593483894853759,,2.0,438.0,0.75,EB-WA5365,https://www.aciertamax.com/property/oficina-en-renta-reforma-guadalajara,20.729816,-103.3938733
72.8,,True,Zapopan,Ciudad Del Sol,RENTA,Departamento,Renta Departamento Amueblado en Ciudad Del Sol.,15000.0,117.1875,0.617207130403569,1.0,1.0,128.0,1.0,EB-WO0513,https://www.aciertamax.com/property/departamento-amueblado-en-ciudad-del-sol-zapopan-jal,20.6563799,-103.4100306
72.7,,True,Guadalajara,La Florida,VENTA,Departamento,"Departamento en Venta Torre San Lorenzo Living,  Col. Agustín Yáñez, Guadalajara",2690000.0,25377.35849056604,0.6158381474227059,3.0,2.0,106.0,1.0,EB-VZ2789,https://www.aciertamax.com/property/departamento-en-venta-torre-san-lorenzo,20.6669801,-103.2926481
72.6,,True,Guadalajara,La Nogalera,RENTA,Oficina,OFICINA EN RENTA LA NOGALERA 287 ZONA INDUSTRIAL GUADLAJARA JALISCO,40000.0,91.95402298850574,0.751475613544579,,8.0,435.0,0.75,EB-TD7649,https://www.aciertamax.com/property/oficina-en-renta-la-nogalera-287-zona-industrial-guadlajara-jalisco,20.6274883775,-103.3449134466
72.6,,True,Guadalajara,Lomas de Independencia,VENTA,Departamento,Departamento en venta en Lomas de Independencia,3825000.0,25500.0,0.6139816031537451,3.0,2.0,150.0,1.0,EB-WN0508,https://www.aciertamax.com/property/departamento-en-venta-en-lomas-de-independencia-62a289e9-c7be-4a03-b6f6-de56d271fcfe,20.7169862597,-103.3253635537
72.5,,True,Tlajomulco de Zúñiga,Lomas de Santa Anita,VENTA,Casa,Paseo de las Margaritas #5,5990000.0,10472.027972027972,0.6118559257307344,3.0,3.0,572.0,1.0,EB-WZ4043,https://www.aciertamax.com/property/paseo-de-las-margaritas-5,20.5025726,-103.4988042
72.5,,True,Zapopan,Bosques de la Primavera,VENTA,Casa,"RESIDENCIA EN VENTA EN ZAPOPAN, JALISCO (BOSQUE DE LA PRIMAVERA, ESTILO TOSCANO)",11490000.0,14012.19512195122,0.6114519913540657,3.0,4.0,820.0,1.0,EB-TB0887,https://www.aciertamax.com/property/residencia-en-venta-en-zapopan-jalisco-bosque-de-la-primavera-estilo-toscano,20.7758965857,-103.3682657532
72.4,,True,Zapopan,Zapopan Centro,RENTA,Departamento,Departamento en Renta,19600.0,119.51219512195122,0.6096135157546643,2.0,2.0,164.0,1.0,EB-WZ9991,https://www.aciertamax.com/property/departamento-en-renta-zapopan-centro-zapopan,20.727227,-103.3912772
72.4,,True,Guadalajara,Prados Del Nilo,VENTA,Casa,Casa cerca de Forum Tlaquepaque,2850000.0,10660.980810234541,0.6099317609482733,4.0,3.0,267.33,1.0,EB-PI6113,https://www.aciertamax.com/property/casa-cerca-de-forum-tlaquepaque,20.6470342,-103.3163643
