Municipio,Colonia,Operación,Precio,Moneda,Título/Colonia,Tipo,Recámaras,Baños,m²,codigo_eb,Liga,lat,lon,Fuente,Fecha_Corrida
Guadalajara,Americana,VENTA,47900000.0,MXN,"Casa en Venta en col. Americana, Av Vallarta, Guadalajara, Jalisco.",Casa,5,4,900.0,EB-VS1929,https://www.aciertamax.com/property/casa-en-venta-en-col-americana-av-vallarta-guadalajara-jalisco,20.6746706,-103.3639544,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,47900000.0,MXN,"Casa En VENTA en colonia Americana de Guadalajara, Jalisco.",Casa,4,6,610.0,EB-VS1605,https://www.aciertamax.com/property/casa-en-venta-en-el-centro-de-guadalajara-jalisco-americana,20.6710335,-103.3721701,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,47900000.0,MXN,"Casa en Venta en col. Americana, Av Vallarta, Guadalajara, Jalisco.",Casa,5,4,900.0,EB-EC3055,https://www.aciertamax.com/property/mansion-de-lujo-en-el-centro-de-guadalajara,20.6717775,-103.3630608,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,47181000.0,MXN,Edificio en venta en zona centro en Guadalajara sobre avenida Enrique Diaz de Le,Edificio,,,3300.0,EB-RF9707,https://www.aciertamax.com/property/edificio-en-venta-en-zona-centro-en-guadalajara-sobre-avenida-enrique-diaz-de-le,20.6773057,-103.3594638,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,47181000.0,MXN,Edificio en VENTA Sobre Av Enrique días de León,Edificio,,,3300.0,EB-NB6710,https://www.aciertamax.com/property/edificio-en-renta-sobre-av-enrique-dias-de-leon,20.6773057,-103.3594638,EasyBroker-aciertamax,2026-09-20
Guadalajara,Morelos,VENTA,45768000.0,MXN,Terreno zona industrial en venta en Gobernador Curiel Guadalajara,Terreno industrial,,,3814.0,EB-UQ1747,https://www.aciertamax.com/property/terreno-en-venta-gobernador-luis-g-curiel,20.6555134,-103.3541541,EasyBroker-aciertamax,2026-09-20
Guadalajara,Monraz,VENTA,45000000.0,MXN,"TERRENO EN VENTA ""AAA"" MAGNIFICA ZONA",Terreno,,,905.0,EB-WP2450,https://www.aciertamax.com/property/terreno-en-venta-aaa-magnifica-zona,20.681578351,-103.3932826643,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,45000000.0,MXN,VENTA TERRENO AV. LA PAZ / INVERSIONISTAS CONSTRUCTORES,Terreno,,,1214.0,EB-TW0566,https://www.aciertamax.com/property/venta-terreno-av-la-paz-inversionistas-constructores,20.6750764,-103.3694032,EasyBroker-aciertamax,2026-09-20
Guadalajara,Guadalajara Centro,VENTA,45000000.0,MXN,EDIFICIO EN VENTA EN PLAZA COMERCIAL PUNTO CORONA,Local comercial,,,2600.0,EB-JX5152,https://www.aciertamax.com/property/en-venta-plaza-comercial-punto-corona,20.67407,-103.3456501,EasyBroker-aciertamax,2026-09-20
Guadalajara,8 de Julio,VENTA,45000000.0,MXN,"GUADALAJARA, JALISCO, AV 8 DE JULIO 1896, LOCAL COMERCIAL EN VENTA",Local en centro comercial,,2,1300.0,EB-UZ5539,https://www.aciertamax.com/property/guadalajara-jalisco-av-8-de-julio-1896-local-comercial-en-venta,20.646975,-103.3613699,EasyBroker-aciertamax,2026-09-20
Guadalajara,Guadalajara Centro,VENTA,45000000.0,MXN,EDIFICIO CENTRICO IDEAL HOTEL BOUTIQUE,Edificio,,,2600.0,EB-RC9003,https://www.aciertamax.com/property/edificio-centrico-ideal-hotel-boutique,20.6743268581,-103.3456850095,EasyBroker-aciertamax,2026-09-20
